# requirement_id | source_section | authority | owner | summary | implementation_paths (;) | test_paths (;) | experiment_ids (;) | config_keys (;) | external_dependency | status_override
# authority: FROZEN_CONTRACT | INTERFACE_FROZEN | EXPERIMENTAL_CANDIDATE | OPEN_BLOCKED
# status_override (optional): INTEGRATED | EVALUATED | VALIDATED | BLOCKED_EXTERNAL | BLOCKED_OPEN_DECISION  (otherwise derived from paths/tests)
REQ-REPO-001 | prompt s3; ch34 | FROZEN_CONTRACT | software | New standalone repository with own git history, lock, CI, README, migrations, docs | pyproject.toml;uv.lock;.github/workflows/ci.yml;README.md | tests/contract/test_ss09_ci_hygiene.py | | | |
REQ-SCHEMA-002 | ch2 Global identifiers | INTERFACE_FROZEN | software | Global machine IDs (UUIDv7), deterministic factory for replay | conrad/schemas/ids.py | tests/contract/test_p0_contracts.py | | | |
REQ-SCHEMA-003 | ch2 Frames; ch28 | INTERFACE_FROZEN | software | Every spatial value carries a frame; explicit T_A_from_B transforms | conrad/schemas/frames.py | tests/contract/test_p0_contracts.py | | | |
REQ-SCHEMA-004 | ch2 Time; ch28 envelope | INTERFACE_FROZEN | software | Common time semantics, clock domains, acquisition vs creation time, asynchronous sensors | conrad/schemas/timebase.py;conrad/schemas/envelope.py | tests/contract/test_p0_contracts.py | | | |
REQ-SCHEMA-005 | ch2; ch34 | INTERFACE_FROZEN | software | Large payloads by content-addressed reference only | conrad/schemas/observation.py;conrad/persistence/object_store.py | tests/contract/test_cc_persistence.py | | | |
REQ-UNC-001 | ch2; ch6; ch28 | FROZEN_CONTRACT | software | Four-channel uncertainty UA/UE/UC/UO, never a single confidence scalar, responsive to inputs | conrad/schemas/uncertainty.py;conrad/core/uncertainty.py | tests/contract/test_p0_contracts.py;tests/unit/core | CORE-UNC-E001 | | |
REQ-KNOW-001 | ch2; ch28; INV-ARCH-06 | FROZEN_CONTRACT | software | Property-level knowledge status OBSERVED/INFERRED/PREDICTED/UNKNOWN/MIXED | conrad/schemas/belief.py | tests/contract/test_p0_contracts.py | | | |
REQ-PROV-001 | ch2 Provenance; INV-ARCH-05; prompt s105 | FROZEN_CONTRACT | software | First-class provenance DAG; command -> ... -> raw observation trace | conrad/schemas/provenance.py;conrad/persistence/repository.py | tests/contract/test_p0_contracts.py;tests/integration/test_i0_fake_full_system.py | | | |
REQ-EVID-001 | ch3; ch4 | FROZEN_CONTRACT | software | Evidence is not belief; ECMER emits evidence only | conrad/core/ecmer | tests/unit/core | | | |
REQ-RHI-001 | ch1; ch20 RHI | FROZEN_CONTRACT | software | One RobotHardwareInterface for simulated and physical robot; no adapter branching upstream | conrad/robotics/hardware/interface.py;conrad/sim/kernel;conrad/adapters/unity | tests/contract/test_command_gateway.py;tests/unit/sim_kernel | | | |
REQ-RHI-002 | INV-ARCH-08; ch1 handoff | FROZEN_CONTRACT | software | RobotConfig with sourced parameters; missing physical facts stay OPEN | conrad/schemas/robot.py;conrad/robotics/hardware/config.py;configs/robot/physical_template.yaml | tests/contract/test_p0_contracts.py | | | |
REQ-GATE-001a | ch34; CC-08 | FROZEN_CONTRACT | software | Gateway rejects expired or future-issued commands | conrad/runtime/command_gateway.py | tests/contract/test_command_gateway.py | | | | 
REQ-GATE-001b | ch34; SS-07 | FROZEN_CONTRACT | software | Gateway rejects raw/untyped payloads, wrong RobotConfig digest, unknown peer, wrong clock domain | conrad/runtime/command_gateway.py | tests/contract/test_command_gateway.py | | | | 
REQ-GATE-001c | ch34 | FROZEN_CONTRACT | software | Only the gateway calls RobotHardwareInterface.send | conrad/runtime/command_gateway.py | tests/leakage/test_static_boundaries.py | | | | 
REQ-GATE-001d | ch28; ch34 | FROZEN_CONTRACT | software | Missing/mismatched safety authorization and invalid actuator sets rejected | conrad/runtime/command_gateway.py;conrad/robotics/safety | tests/contract/test_command_gateway.py;tests/unit/robotics | | | | 
REQ-GATE-002 | ch34; SS-10; prompt s27 | FROZEN_CONTRACT | software | Hardware control defaults OFF; physical run impossible without every prerequisite | conrad/settings.py;conrad/runtime/supervisor.py;conrad/runtime/doctor.py | tests/contract/test_command_gateway.py;tests/unit/runtime/test_supervisor_and_doctor.py | | | |
REQ-I0-001 | ch25 Phase 1; gate I0 | FROZEN_CONTRACT | software | Fake full system closes the loop with IDs/frames/time/provenance/uncertainty and deterministic replay | tests/fixtures/fake_system.py | tests/integration/test_i0_fake_full_system.py | | | | | gate:I0
REQ-PERSIST-001 | ch28; ch34; CC-01..04; SS-03 | FROZEN_CONTRACT | software | Atomic idempotent belief+provenance commits; dedupe; late evidence explicit; lineage preserved | conrad/persistence/repository.py;conrad/persistence/db.py;conrad/persistence/migrations/versions/0001_initial.py | tests/contract/test_cc_persistence.py | | runtime.late_evidence_policy | |
REQ-CORE-ECMER | ch4; ch33 ECMER | EXPERIMENTAL_CANDIDATE | software | ECMER encoders, fusion, quality head, missing modalities, staged training E1-E4, baselines/ablations | conrad/core/ecmer | tests/unit/core | ECMER-E001 | model.core | |
REQ-CORE-ASSOC | ch3; ch33 Association | EXPERIMENTAL_CANDIDATE | software | Deterministic candidate retrieval, learned scorer, NO_MATCH | conrad/core/association.py | tests/unit/core | CORE-ASSOC-E001 | model.core | |
REQ-CORE-BUO | ch5; ch33 BUO | EXPERIMENTAL_CANDIDATE | software | BUO: trust != innovation, contradiction memory, uncertainty update, no artificial certainty | conrad/core/buo.py;conrad/core/buo_analytic.py | tests/unit/core | CORE-BUO-E001 | model.core | |
REQ-CORE-RBP | ch9; ch33 RBP | EXPERIMENTAL_CANDIDATE | software | Relational propagation labelled INFERRED with provenance; anti-contamination | conrad/core/rbp.py | tests/unit/core | CORE-RBP-E001 | model.core | |
REQ-CORE-TBD | ch7; ch33 TBD | EXPERIMENTAL_CANDIDATE | software | Temporal dynamics on physical delta_t; baselines first; temporal surprise | conrad/core/tbd.py;conrad/core/tbd_analytic.py | tests/unit/core | CORE-TBD-E001 | model.core | |
REQ-CORE-PMBL | ch8; ch33 PMBL | FROZEN_CONTRACT | software | Working graph, persistent store, evidence archive, full lifecycle, CC-09 reset | conrad/core/pmbl.py;conrad/core/belief_graph.py | tests/unit/core | CORE-PERSIST-E001 | | |
REQ-CORE-SANDBOX | ch25 Phase 2; gate C1 | FROZEN_CONTRACT | software | Abstract synthetic hidden-state sandbox and CORE-* experiments vs baselines | conrad/evaluation/core_experiments | tests/unit/core | CORE-FULL-E001 | | || gate:C1
REQ-CC-0506 | ch28 CC-05, CC-06 | FROZEN_CONTRACT | software | Masked loss zero denominator; padding/permutation invariance | conrad/core/primitives.py | tests/property/core | | | |
REQ-T2S-001 | ch14-15; ch33 | EXPERIMENTAL_CANDIDATE | software | Twin2S canonical geometry, observability truth, OCPWE controls, counterfactual worlds | conrad/twins/twin2s | tests/unit/twins/twin2s;tests/simulation/twin2s | | sim.twin2s | |
REQ-M2S-001 | ch14; ch33 UAHSM | EXPERIMENTAL_CANDIDATE | software | Model2S persistent spatial belief, observed/inferred/unknown, pose uncertainty, free-space evidence | conrad/domains/spatial | tests/unit/domains/spatial | 2S-E001 | model.spatial | || gate:2S-FIRST
REQ-T2T-001 | ch10-11; ch33 | EXPERIMENTAL_CANDIDATE | software | Twin2T hierarchy, corrosion + fatigue with validity masks, MCDE coupling, interventions | conrad/twins/twin2t | tests/unit/twins/twin2t;tests/simulation/twin2t | | sim.twin2t | |
REQ-M2T-001 | ch10; ch33 TCDP | EXPERIMENTAL_CANDIDATE | software | Model2T persistent structural belief, direct vs propagated support, TCDP constrained propagation | conrad/domains/technical | tests/unit/domains/technical | 2T-E001 | model.technical | || gate:2T
REQ-T2E-001 | ch12-13; ch33 | EXPERIMENTAL_CANDIDATE | software | Twin2E fields + entities, MEIFE, disturbances, counterfactuals | conrad/twins/twin2e | tests/unit/twins/twin2e;tests/simulation/twin2e | | sim.twin2e | |
REQ-M2E-001 | ch12; ch33 CEFD | EXPERIMENTAL_CANDIDATE | software | Model2E separate entity/field beliefs and CEFD coupling with provenance | conrad/domains/ecological | tests/unit/domains/ecological | 2E-E001 | model.ecological | || gate:2E
REQ-BUS-001 | ch2 Belief Bus | FROZEN_CONTRACT | software | Asynchronous versioned bus, availability states, failure isolation, cross-domain context only | conrad/orchestration/belief_bus.py | tests/unit/orchestration | | | |
REQ-XDOM-001 | ch2 Cross-domain | FROZEN_CONTRACT | software | Children never mutate each other; typed uncertain cross-domain relations; biofouling != corrosion | conrad/schemas/belief.py;conrad/orchestration/belief_bus.py | tests/unit/orchestration;tests/integration/test_multidomain.py | | | |
REQ-SIM-KERNEL | ch20-21; ADR-0005 | FROZEN_CONTRACT | software | 6-DOF underwater dynamics, thruster/sensor/power models, fault injection, validity level L1 | conrad/sim/kernel | tests/unit/sim_kernel | | sim.kernel | |
REQ-UNITY-001 | ch21; prompt s45-48 | INTERFACE_FROZEN | software | Unity V2 C# project (8 modules) and Python bridge adapter | unity/ConradUnityV2;conrad/adapters/unity | tests/contract/unity;tests/unit/adapters/unity | | sim.unity | Unity editor execution (EXT-UNITY-01) || gate:U0
REQ-EST-001 | ch20 State estimator | EXPERIMENTAL_CANDIDATE | software | Conventional estimator baseline with covariance and health; consumes RHI only | conrad/robotics/estimation | tests/unit/robotics | NAV-007 | | |
REQ-NAV-001 | ch20 Navigation | EXPERIMENTAL_CANDIDATE | software | Waypoint, global/local planning, obstacle avoidance, trajectory, station keeping, pipeline following, standoff | conrad/robotics/navigation;conrad/robotics/trajectory | tests/unit/robotics;tests/simulation/nav | NAV-001;NAV-002;NAV-003;NAV-004;NAV-005 | | |
REQ-CTRL-001 | ch20 Controller/Allocation | EXPERIMENTAL_CANDIDATE | software | Classical PID baseline; allocation from RobotConfig geometry with saturation/deadzone/asymmetry/faults | conrad/robotics/control;conrad/robotics/allocation | tests/unit/robotics | NAV-006;NAV-008 | | |
REQ-SAFE-001 | ch20 Safety; ch28; INV-ARCH-03 | FROZEN_CONTRACT | software | Deterministic Safety Supervisor overrides autonomy; no hard-coded surface action | conrad/robotics/safety | tests/unit/robotics | | | |
REQ-M1-001 | ch16-17; ch33 EGDC | EXPERIMENTAL_CANDIDATE | software | Model1/EGDC: claim graph, grounded proposals, closed action vocabulary, deterministic constraints, UIR | conrad/decision | tests/unit/decision | M1-UIR-E001 | model.decision | |
REQ-MCBR-001 | ch18; ch33 MCBR | EXPERIMENTAL_CANDIDATE | software | MCBR: InformationNeed -> ObservationPlan, cause-specific strategies, feasibility before ranking, baselines, never moves the robot | conrad/active | tests/unit/active | ACTIVE-MCBR-E001 | model.active | |
REQ-BAAC-001 | ch19; ch33 BAAC | EXPERIMENTAL_CANDIDATE | software | BAAC: receiver model, semantic deltas, progressive fidelity, store-and-forward, channel simulator, baselines | conrad/communication | tests/unit/communication | COM-BAAC-E001 | model.communication | |
REQ-SCEN-001 | ch2 Shared scenario; prompt s77 | FROZEN_CONTRACT | software | One shared scenario feeds all twins with shared world-entity IDs; impossible worlds rejected | conrad/schemas/world.py;conrad/sim/scenarios | tests/simulation;tests/contract/test_p0_contracts.py | | | |
REQ-INT-I1 | ch25 Phase 5; gate I1 | FROZEN_CONTRACT | software | Twin2S -> sim -> sensors -> ECMER -> Model2S persistent spatial belief, no leakage | conrad/orchestration/mission.py | tests/integration/test_i1_spatial_loop.py | SYS-I1 | | || gate:I1
REQ-INT-I2 | ch25 Phase 6; gate I2 | FROZEN_CONTRACT | software | Autonomous movement on estimated state; nav benchmarks | conrad/evaluation/nav_benchmarks | tests/simulation/nav | NAV-001;NAV-002;NAV-003;NAV-004;NAV-005;NAV-006;NAV-007;NAV-008 | | || gate:I2
REQ-INT-I3 | ch25 Phase 7; gate I3 | FROZEN_CONTRACT | software | Structural inspection with partial observations and persistent uncertain 2T state | conrad/orchestration/mission.py | tests/integration/test_i3_structural.py | SYS-I3 | | || gate:I3
REQ-INT-I4 | ch25 Phase 8; ch35 P1; gate I4 | FROZEN_CONTRACT | software | Flagship closed active inspection, quantified and replayable | conrad/orchestration/mission.py | tests/acceptance/test_flagship_mission.py | SYS-I4 | | || gate:I4
REQ-INT-I5 | ch25 Phase 9; gate I5 | FROZEN_CONTRACT | software | Model1 decision autonomy integrated; hard constraints deterministic | conrad/orchestration/mission.py | tests/acceptance/test_flagship_mission.py | SYS-I5 | | || gate:I5
REQ-INT-I6 | ch25 Phase 10; gate I6 | FROZEN_CONTRACT | software | 2E integrated into multi-domain belief through the bus | conrad/orchestration/mission.py | tests/integration/test_multidomain.py | SYS-I6 | | || gate:I6
REQ-INT-I7 | ch25 Phase 11; gate I7 | FROZEN_CONTRACT | software | Constrained BAAC communication in missions: low bandwidth, loss, outage, reconnection | conrad/orchestration/mission.py | tests/acceptance/test_flagship_mission.py | SYS-I7 | | || gate:I7
REQ-HW-012 | ch22; ch25 Phase 12 | FROZEN_CONTRACT | software | Hardware characterization ingestion with value/units/frame/time/uncertainty/provenance/source type | conrad/robotics/hardware/characterization | tests/unit/characterization | | | Measured hardware records (EXT-HW-02) |
REQ-HW-013 | ch22; ch25 Phase 13 | EXPERIMENTAL_CANDIDATE | software | Parameter identification tooling; identification data separated from validation data | conrad/robotics/hardware/identification | tests/unit/identification | | | Real identification logs (EXT-HW-04) |
REQ-HIL-014 | ch22; ch25 Phase 14; gate I8 | FROZEN_CONTRACT | software | HIL harness with latency/CPU/RAM/backlog/deadline metrics; host mode | conrad/sim/hil | tests/unit/hil | SYS-I8-HOST | | Target compute + Unity HIL (EXT-HIL-01) || gate:I8
REQ-PHY-015 | ch22; ch25 Phase 15; gate I9 | FROZEN_CONTRACT | shared | Readiness ladder R0-R6 and autonomy activation ladder that cannot skip gates | conrad/robotics/hardware/characterization | tests/unit/characterization | | | Physical robot and trials (EXT-HW-01) | BLOCKED_EXTERNAL| gate:I9
REQ-DATA-001 | ch24; prompt s92-93 | FROZEN_CONTRACT | software | Dataset registry, manifests, adapters; models never own dataset loading | conrad/data/manifest.py;conrad/data/adapters;conrad/data/adapters/uvvid.py;datasets/public;docs/audits/PUBLIC_DATA_PROCUREMENT.md | tests/unit/data | DATA-REAL-SMOKE-E001 | data.manifest_ids |  |
REQ-DATA-002 | prompt s91; INV-ARCH-09 | FROZEN_CONTRACT | software | Lineage-aware splits; OOD holds out structural families | conrad/data/splits.py | tests/unit/data;tests/property/data | | data.split_hash | |
REQ-DATA-003 | ch35 P2 | FROZEN_CONTRACT | software | DATA-CONRAD-SSL-01 corpus tooling and acceptance report | conrad/data/ssl_corpus.py | tests/unit/data |  |  | Conrad-owned real captures (EXT-DATA-CONRAD-CAPTURE); public data only via approved manifests, audit 2026-09-19: uvvid=APPROVED_WITH_RESTRICTIONS(sample downloaded, unlabelled); subpipe,seaclear,underwater_caves_sonar=APPROVED_WITH_RESTRICTIONS(not downloaded, size); aqualoc,benthicnet,fathomnet,seaview,suim=NEEDS_HUMAN_RIGHTS_REVIEW; uw_slam=UNAVAILABLE |
REQ-DATA-004 | ch35 P4 | FROZEN_CONTRACT | software | SIMREAL-LEDGER-01 randomization ledger | conrad/data/simreal_ledger.py;datasets/simreal_ledger.yaml | tests/unit/data | | | |
REQ-TRAIN-001 | ch23; ch33 training config | FROZEN_CONTRACT | software | Deterministic trainer, curriculum C0-C9, truncated persistent training, resume | conrad/training/trainer.py | tests/unit/training | | train | |
REQ-TRAIN-002 | ch3 Checkpoint; SS-05; ch36 tuple | FROZEN_CONTRACT | software | Checkpoint identity; incompatible load rejected | conrad/training/checkpoint.py | tests/unit/training | | | |
REQ-TRAIN-003 | prompt s97 | FROZEN_CONTRACT | software | Compute-aware execution; smoke runs; full-scale configs marked compute-blocked | conrad/training/trainer.py;configs/train | tests/unit/training | | device | Research-scale GPU compute (EXT-COMPUTE-01) |
REQ-EXP-001 | ch27; prompt s98 | FROZEN_CONTRACT | software | Experiment registry with stable IDs; failed experiments retained | conrad/evaluation/registry | tests/unit/evaluation | | | |
REQ-EXP-002 | ch28 acceptance; prompt s99 | FROZEN_CONTRACT | software | Acceptance records; OPEN threshold -> NOT_EVALUABLE | conrad/evaluation/acceptance.py | tests/unit/evaluation | | | |
REQ-EXP-003 | ch25 D0-D8; ch27 claims | FROZEN_CONTRACT | software | Maturity ladder and claim ladder enforcement | conrad/evaluation/maturity.py;conrad/evaluation/claims.py | tests/unit/evaluation | | | |
REQ-EXP-004 | prompt s90; ch27 | FROZEN_CONTRACT | software | Twin usefulness RealOnly vs Twin+Real | conrad/evaluation/claims.py | tests/unit/evaluation |  |  | Labelled real task data, audit 2026-09-19: uvvid APPROVED_WITH_RESTRICTIONS but has no labels/pose so cannot score RealOnly vs Twin+Real; subpipe APPROVED_WITH_RESTRICTIONS (CC-BY-4.0, segmentation+VI) blocked on a 4.9 GB download budget decision; seaclear APPROVED_WITH_RESTRICTIONS (1.7 GB) object labels only; aqualoc,benthicnet,fathomnet,seaview,suim NEEDS_HUMAN_RIGHTS_REVIEW; uw_slam UNAVAILABLE | BLOCKED_EXTERNAL
REQ-GOLD-001 | ch35 P3 | FROZEN_CONTRACT | software | GOLDEN-V0.2 fixtures GS-01..GS-10 | tests/acceptance/test_golden_suite.py | tests/acceptance/test_golden_suite.py | GOLDEN-V0.2 | | |
REQ-INTB-001 | ch20 benchmarks; prompt s113 | FROZEN_CONTRACT | software | Intelligence benchmarks INT-001..INT-010 with reproducible artifacts | conrad/evaluation/int_benchmarks | tests/integration/test_int_benchmarks.py | INT-001;INT-010 | | |
REQ-RUN-001 | ch34 state machine; prompt s106 | FROZEN_CONTRACT | software | Runtime state machine, health, SAFE_HOLD on critical failure (SS-06) | conrad/runtime/supervisor.py;conrad/runtime/health.py | tests/unit/runtime/test_supervisor_and_doctor.py | | | |
REQ-RUN-002 | ch34 events; prompt s104 | FROZEN_CONTRACT | software | Structured append-only event log with correlation identity | conrad/runtime/event_log.py;conrad/schemas/events.py | tests/integration/test_i0_fake_full_system.py | | | |
REQ-RUN-003 | ch34 CLI; prompt s108-109 | FROZEN_CONTRACT | software | One Typer CLI; doctor with machine-readable report and nonzero exit | conrad/cli/app.py;conrad/cli/commands.py;conrad/runtime/doctor.py | tests/unit/runtime/test_supervisor_and_doctor.py;tests/integration/test_cli.py | | | |
REQ-REPLAY-001 | ch2 replay; CC-10; SS-02; SS-08 | FROZEN_CONTRACT | software | Deterministic replay with digest verification, fail closed; backup/restore | conrad/persistence/replay_store.py | tests/replay | | | |
REQ-SEC-001 | ch34 network/secrets; prompt s107 | FROZEN_CONTRACT | software | No public control endpoint; private bind; unknown peer rejected; secrets never committed or printed | conrad/settings.py;scripts/secret_scan.py | tests/contract/test_ss09_ci_hygiene.py;tests/contract/test_command_gateway.py | | runtime.bind_address;runtime.allowed_peers | |
REQ-REL-001 | ch34 release; prompt s116 | FROZEN_CONTRACT | software | Release lanes dev/candidate/physical with manifest; physical requires I-gate evidence | conrad/runtime/release.py | tests/replay/test_bundle_backup_restore.py | | | |
REQ-DASH-001 | ch37; prompt s112 | FROZEN_CONTRACT | software | Operator and replay console: explanatory surface, never a source of truth | conrad/console | tests/unit/console | | | |
REQ-ADV-001 | prompt s103; ch36 fault injection | FROZEN_CONTRACT | software | Adversarial / fault-injection suite | tests/regression/test_adversarial.py | tests/regression/test_adversarial.py | | | |
REQ-OPEN-001 | ch28; ADR-0002 | OPEN_BLOCKED | shared | Physical WORLD frame convention, geodetic origin, body-frame convention | docs/adr/ADR-0002-frame-convention.md | | | | Hardware frame contract (EXT-HW-03) | BLOCKED_OPEN_DECISION
REQ-OPEN-002 | ch28 acceptance | OPEN_BLOCKED | software | Numerical research-superiority thresholds | conrad/evaluation/acceptance.py | | | | Baseline measurements + mission envelope | BLOCKED_OPEN_DECISION
REQ-OPEN-003 | ch28; ch34 safe_hold | OPEN_BLOCKED | shared | Timeout behaviour, degraded modes, recovery action per physical configuration | configs/robot/physical_template.yaml | | | | Hardware safety contract (EXT-HW-05) | BLOCKED_OPEN_DECISION
REQ-OPEN-004 | ch30 fidelity register | OPEN_BLOCKED | software | Final canonical neural architectures for every learned package | docs/adr/ADR-0004-analytic-default-operators.md | | | | Registered experiments + research-scale compute | BLOCKED_OPEN_DECISION
